org_name,desc - 140 character limit,description,link,,,,num_clicks,created_at,updated_at
Black Girls Code,"To increase the number of women of color in the digital space by empowering girls of color ages 7 to 17 to become innovators in STEM fields, leaders in their communities, and builders of their own futures through exposure to computer science and technology. To provide African-American youth with the skills to occupy some of the 1.4 million computing job openings expected to be available in the U.S. by 2020, and to train 1 million girls by 2040.","To increase the number of women of color in the digital space by empowering girls of color to become innovators in STEM fields, leaders in their communities, and builders of their own futures.",http://www.blackgirlscode.com/donations.html,,,,,,
Lesbians Who Tech,Lesbians Who Tech is a Community of Queer Women in or around tech (and the people who love them).,Lesbians Who Tech is a Community of Queer Women in or around tech (and the people who love them).,https://www.generosity.com/education-fundraising/edie-windsor-coding-scholarship-for-lgbtq-women--2,,,,,,
Girls Inc.,"Girls Inc. inspires all girls to be strong, smart, and bold through direct service and advocacy. Our comprehensive approach to whole girl development equips girls to navigate gender, economic, and social barriers and grow up healthy, educated, and independent. These positive outcomes are achieved through three core elements: people - trained staff and volunteers who build lasting, mentoring relationships; environment - girls-only, physically and emotionally safe, where there is a sisterhood of support, high expectations, and mutual respect; and programming - research-based, hands-on and minds-on, age-appropriate, meeting the needs of today’s girls. Informed by girls and their families, we also advocate for legislation and policies to increase opportunities for all girls. ","Girls Inc. inspires all girls to be strong, smart, and bold through direct service and advocacy.",http://www.girlsinc.org/,,,,,,
Anita Borg Institute,We envision a future where the people who imagine and build technology mirror the people and societies they build it for.,We envision a future where the people who imagine and build technology mirror the people and societies they build it for.,https://anitaborg.org/donate/,,,,,,
Girls In Tech ,"Girls in Tech (GIT) is a global non-profit focused on the engagement, education and empowerment of girls and women who are passionate about technology. Adriana Gascoigne founded GIT in 2007 to create a support framework to help women advance their careers in STEM fields.","Girls in Tech (GIT) is a global non-profit focused on the engagement, education and empowerment of girls and women who are passionate about technology.",https://donate.everydayhero.com/us/starthersuccess/starthersuccess-donations-supporting-girls-in-tech,,,,,,
Girl Develop It,"Girl Develop It is an international organization, certified by the Board of Education, that exists to provide affordable and accessible programs to women who want to learn software development through mentorship and hands-on instruction. By teaching women around the world from diverse backgrounds to learn software development, Girl Develop It can help women improve their careers and confidence in their everyday lives.",GDI provides affordable and accessible programs to women who want to learn software development through mentorship and hands-on instruction.,https://www.girldevelopit.com/donate,,,,,,
Girls Who Code ,"Girls Who Code works to educate, inspire, and equip young women with the skills and resources to pursue academic and career opportunities in computing fields. Girls Who Code’s vision is to reach gender parity in computing fields. GWC believe this is paramount to ensure the economic prosperity of women, families, and communities across the globe, and to equip citizens with the 21st century tools for innovation and social change. They believe that more girls exposed to computer science at a young age will lead to more women working in the technology and engineering fields. ","Girls Who Code works to educate, inspire, and equip young women with the skills and resources to pursue academic and career opportunities in computing fields.",https://www.classy.org/checkout/donation?eid=77372, ,,,,,
SisterSong,,Sistersong’s mission is to strengthen and amplify the collective voices of indigenous women and women of color to achieve reproductive justice by eradicating reproductive oppression and securing human rights.,https://www.paypal.com/donate/?token=Fml8cGT_5dmS9p_cufyPVVQ2-7WokTvsDe0aZFObr8oxhMukPNaIteTfNQ7aOg-86clzu0&country.x=US&locale.x=US,,,,,,
Emily's List,,We elect pro-choice Democratic women to office.,https://secure.emilyslist.org/page/contribute/donate-to-emily,,,,,,
NGLTF,,"The National LGBTQ Task Force advances full freedom, justice and equality for LGBTQ people.",http://www.thetaskforce.org/donate.html,,,,,,
